"Real GDP by metropolitan area (millions of chained 2009 dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"Fips","Area","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",29664,29639,30686,29528,30316,30557,31613,31627,30040,31140,32172,31940,32407,33395,34306
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",13245,13032,13892,13539,14408,14445,14988,15801,15152,15005,14579,15514,14531,14392,14644
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",6734,6919,7093,7373,7757,7999,7804,7699,7528,7603,7816,7905,7844,7889,7952
"25220","Hammond, LA (Metropolitan Statistical Area)",2188,2294,2431,2629,2869,3448,3328,3444,3290,3553,3465,3250,3203,3313,3228
"25260","Hanford-Corcoran, CA (Metropolitan Statistical Area)",3520,3746,4133,4399,4539,4519,4849,4691,4188,4193,4640,4527,4603,4633,4835
"25420","Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",27001,27176,27655,28436,28712,29263,29512,28979,28762,28875,29208,29533,29681,29996,30422
"25500","Harrisonburg, VA (Metropolitan Statistical Area)",5885,5440,5594,5587,5809,6072,6361,6066,6619,6840,6778,6742,6649,6663,6489
"25540","Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",71725,69517,70459,75493,77066,80203,85476,83367,82441,81224,79327,77166,75662,76739,77391
"25620","Hattiesburg, MS (Metropolitan Statistical Area)",3821,3974,4102,4257,4357,4669,4738,4783,4811,4870,4890,5013,4972,4985,5041
"25860","Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",12624,12579,12231,12686,12677,13202,12350,12105,11300,11503,11496,11474,11204,11270,11654
"25940","Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",6797,7154,7399,7693,7959,8306,8464,7869,7432,7287,7058,6925,6934,7100,7111
